0.05;0.05;0.05;0;0;0;0;0;0;0;0;0;0;0
0.0025;0.0025;0.0025;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.1;0.1;0.1;0;0;0.3;0;0;0;0;0;0;0;0
0.5;0.5;0.5;18000;6000;1.2;0;0;0;0;0;0;0;0
1.2;1.2;1.2;18000;6000;2.5;0.15;0;0;0;0;0.2;0.12;0.1
1;1;1;18000;6000;2;0.15;0;0;0;0.05;0.2;0.12;0.2
1;1;1;18000;6000;1;0.07;0.1;0;0;0.05;0.2;0.05;0.15
0.8;0.8;0.8;18000;6000;1;0;0.1;0;0;0.05;0.1;0.05;0.1
0.8;0.8;0.8;18000;6000;1;0;0.1;0.15;0.1;0.05;0.1;0.05;0.1
1;1;1;18000;6000;1;0;0;0.2;0.2;0.05;0.1;0.05;0.1
1;1;1;18000;6000;1;0.07;0;0.08;0.1;0.05;0.1;0.05;0.1
0.8;0.8;0.8;18000;6000;1;0.01;0.1;0;0;0.05;0.1;0.05;0.1
0.8;0.8;0.8;18000;6000;1;0;0.1;0;0;0.05;0.1;0.05;0.1
1;1;1;18000;6000;1.5;0;0.1;0;0;0.05;0.15;0.08;0.15
1.3;1.3;1.3;18000;6000;2;0;0.15;0;0;0.05;0.2;0.12;0.2
1.2;1.2;1.2;18000;6000;1.8;0;0.15;0.08;0.1;0.05;0.2;0.12;0.2
0.9;0.9;0.9;18000;6000;1;0;0.08;0.15;0.2;0.05;0.15;0.1;0.15
0.7;0.7;0.7;18000;6000;0.5;0;0;0.12;0.1;0.05;0.1;0.1;0.08
0.5;0.5;0.5;0;0;0.4;0;0;0.1;0;0;0.05;0.05;0.05
0.3;0.3;0.3;0;0;0.3;0;0;0;0;0;0;0;0
0.1;0.1;0.1;0;0;0.2;0;0;0;0;0;0;0;0
